y,x,street_count,highway,ref,geometry
-11.9981834,-77.0534659,4,N/A,N/A,POINT (-77.0534659 -11.9981834)
-11.9981741,-77.0525428,3,N/A,N/A,POINT (-77.0525428 -11.9981741)
-11.9977257,-77.0525684,4,N/A,N/A,POINT (-77.0525684 -11.9977257)
-11.9997836,-77.0513886,4,N/A,N/A,POINT (-77.0513886 -11.9997836)
-12.000682,-77.0515026,4,N/A,N/A,POINT (-77.0515026 -12.000682)
-11.9988583,-77.0510364,3,N/A,N/A,POINT (-77.0510364 -11.9988583)
-12.001578,-77.0515973,3,N/A,N/A,POINT (-77.0515973 -12.001578)
-11.9992327,-77.050718,3,N/A,N/A,POINT (-77.050718 -11.9992327)
-11.9997938,-77.0509364,4,N/A,N/A,POINT (-77.0509364 -11.9997938)
-12.0006964,-77.0510492,4,N/A,N/A,POINT (-77.0510492 -12.0006964)
-12.0015914,-77.0511695,4,N/A,N/A,POINT (-77.0511695 -12.0015914)
-11.9986279,-77.0516254,3,N/A,N/A,POINT (-77.0516254 -11.9986279)
-11.999808,-77.0504561,4,N/A,N/A,POINT (-77.0504561 -11.999808)
-12.0007109,-77.0505929,4,N/A,N/A,POINT (-77.0505929 -12.0007109)
-12.0016055,-77.0507169,3,N/A,N/A,POINT (-77.0507169 -12.0016055)
-11.9981857,-77.0516257,3,N/A,N/A,POINT (-77.0516257 -11.9981857)
-11.9992925,-77.0520457,3,N/A,N/A,POINT (-77.0520457 -11.9992925)
-11.9992959,-77.0516251,3,N/A,N/A,POINT (-77.0516251 -11.9992959)
-11.997723,-77.0520627,3,N/A,N/A,POINT (-77.0520627 -11.997723)
-11.9977322,-77.0516259,3,N/A,N/A,POINT (-77.0516259 -11.9977322)
-11.9868381,-77.0609839,3,N/A,N/A,POINT (-77.0609839 -11.9868381)
-11.9867728,-77.0605546,3,N/A,N/A,POINT (-77.0605546 -11.9867728)
-11.9867044,-77.060105,3,N/A,N/A,POINT (-77.060105 -11.9867044)
-11.9866131,-77.0595044,3,N/A,N/A,POINT (-77.0595044 -11.9866131)
-11.9865435,-77.0590464,3,N/A,N/A,POINT (-77.0590464 -11.9865435)
-11.9864778,-77.0586143,3,N/A,N/A,POINT (-77.0586143 -11.9864778)
-11.9876533,-77.0604007,3,N/A,N/A,POINT (-77.0604007 -11.9876533)
-11.9875893,-77.0599759,3,N/A,N/A,POINT (-77.0599759 -11.9875893)
-11.9874958,-77.059356,3,N/A,N/A,POINT (-77.059356 -11.9874958)
-11.9874288,-77.0589116,3,N/A,N/A,POINT (-77.0589116 -11.9874288)
-11.9875709,-77.061397,4,N/A,N/A,POINT (-77.061397 -11.9875709)
-11.989519,-77.0611031,3,N/A,N/A,POINT (-77.0611031 -11.989519)
-11.9873565,-77.0584319,3,N/A,N/A,POINT (-77.0584319 -11.9873565)
-11.9877211,-77.0608502,3,N/A,N/A,POINT (-77.0608502 -11.9877211)
-11.9874274,-77.0619549,3,N/A,N/A,POINT (-77.0619549 -11.9874274)
-11.9863679,-77.064203,3,N/A,N/A,POINT (-77.064203 -11.9863679)
-11.9862994,-77.0637133,3,N/A,N/A,POINT (-77.0637133 -11.9862994)
-11.9861395,-77.0626337,4,N/A,N/A,POINT (-77.0626337 -11.9861395)
-11.9860767,-77.0621536,3,N/A,N/A,POINT (-77.0621536 -11.9860767)
-11.9859996,-77.0616391,4,N/A,N/A,POINT (-77.0616391 -11.9859996)
-11.9859231,-77.0611224,3,N/A,N/A,POINT (-77.0611224 -11.9859231)
