osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,bridge,junction
330462036,True,,Avenida Francisco Bolognesi,tertiary,50,False,144.466,"LINESTRING (-77.0560981 -12.0035388, -77.0547888 -12.0033201)",,N/A,,
333868839,False,,Luis Sanchez Cerro,residential,,True,161.059,"LINESTRING (-77.0573799 -12.0042119, -77.0574141 -12.0042315, -77.0574479 -12.0042598, -77.0575836 -12.0043659, -77.0577285 -12.004465, -77.0577594 -12.0044857, -77.0577896 -12.004501, -77.0578178 -12.0045124, -77.0578572 -12.0045279, -77.0580007 -12.0045736, -77.0580096 -12.0045765, -77.0583208 -12.0046794, -77.0583351 -12.0046841, -77.0586876 -12.0048006, -77.058712 -12.0048087)",,N/A,,
427041950,True,,Luis Sanchez Cerro,residential,,False,148.857,"LINESTRING (-77.0573799 -12.0042119, -77.0566157 -12.0040804, -77.0560293 -12.0039961)",,N/A,,
68863221,False,,Cañete,residential,,True,51.397,"LINESTRING (-77.0560293 -12.0039961, -77.0560981 -12.0035388)",,N/A,,
427041950,True,,Luis Sanchez Cerro,residential,,False,150.41299999999998,"LINESTRING (-77.0560293 -12.0039961, -77.0547438 -12.0037987, -77.0546631 -12.0037863)",,N/A,,
68863221,False,,Cañete,residential,,False,55.721,"LINESTRING (-77.0561841 -12.0030448, -77.0560981 -12.0035388)",,N/A,,
68863221,False,,Cañete,residential,,True,53.702,"LINESTRING (-77.0561841 -12.0030448, -77.056267 -12.0025687)",,N/A,,
68863222,True,,12 de Julio,residential,,False,145.378,"LINESTRING (-77.0561841 -12.0030448, -77.0555941 -12.0029442, -77.054866 -12.0028279)",,N/A,,
68864282,False,,Las Nueces,residential,,False,153.056,"LINESTRING (-77.0527922 -12.0044619, -77.0541722 -12.0047314)",,N/A,,
68863210,False,,Los Ficus,residential,,False,47.483000000000004,"LINESTRING (-77.0527922 -12.0044619, -77.0527178 -12.0048346, -77.0527085 -12.004881)",,N/A,,
